f,dur,sr,noise,zcr,zcr_trim,mfcc_naive,upgraded
4464d58d-46f1-4c49-b958-c938f9c86b30_a2.wav,2.1,48000,0.001917534158565104,10.0,10.0,131.08746337890625,10.0
4464d58d-46f1-4c49-b958-c938f9c86b30_a3.wav,1.74,48000,0.001786477048881352,10.0,10.0,35.10675811767578,7.644890785217285
4464d58d-46f1-4c49-b958-c938f9c86b30_a4.wav,1.98,48000,0.0018176744924858212,10.0,10.0,117.3492660522461,9.267125129699707
4464d58d-46f1-4c49-b958-c938f9c86b30_a5.wav,1.92,48000,0.0018974567065015435,10.0,10.0,119.44490051269531,10.0
b7009503-67be-44bd-89af-449a34c6c362_a1.wav,6.12,48000,0.00319895357824862,10.0,10.0,97.28499603271484,9.024236679077148
bfd79b08-42dd-47d9-abd2-58e569858dea_a1.wav,1.5,48000,0.0013696112437173724,10.0,7.19921875,40.75200271606445,9.701530456542969
bfd79b08-42dd-47d9-abd2-58e569858dea_a2.wav,0.84,48000,0.001838170806877315,10.0,10.0,39.34203338623047,8.729484558105469
bfd79b08-42dd-47d9-abd2-58e569858dea_a3.wav,0.48,48000,0.0014512359630316496,10.0,10.0,32.378639221191406,7.6752238273620605
bfd79b08-42dd-47d9-abd2-58e569858dea_a4.wav,0.42,48000,0.0011508759343996644,10.0,10.0,51.26119613647461,9.489327430725098
bfd79b08-42dd-47d9-abd2-58e569858dea_a5.wav,0.36,48000,0.0011914499336853623,10.0,10.0,35.13617706298828,5.847702980041504
c5b0ef1d-ee50-4b3a-810d-dd87fdd22b21_a1.wav,2.46,48000,0.002340080216526985,10.0,10.0,61.38893127441406,7.616605281829834
f1f8b1bf-b18b-4f21-9d1c-b09d828a4477_a1.wav,1.26,48000,0.005496044643223286,9.488396139705882,9.521865068855933,57.97394943237305,8.530685424804688
f1f8b1bf-b18b-4f21-9d1c-b09d828a4477_a2.wav,4.8,48000,0.008993139490485191,8.345975956208425,8.357796805245535,71.70248413085938,8.440406799316406
f1f8b1bf-b18b-4f21-9d1c-b09d828a4477_a3.wav,6.36,48000,0.0033028144389390945,10.0,10.0,62.547393798828125,8.196128845214844
